city,country,country_code,latitude,longitude,population,hospitals,clinics,health_centers,pharmacies,laboratories,total_facilities,facilities_per_100k,hospital_beds_total,hospital_beds_per_10k,icu_beds_estimated,physicians_per_100k,nurses_per_100k,chw_per_100k,total_health_workers,daily_test_capacity,test_capacity_per_100k,cold_chain_score,pharma_import_dependency_pct,has_local_production,health_expenditure_per_capita,out_of_pocket_pct,jee_prevent,jee_detect,jee_respond,ghsi_overall,haq_index,medical_services_score,health_capacity_score,supply_chain_resilience_index
Port Elizabeth,South Africa,ZA,-33.9681,25.5981,1021000,1,9,0,25,0,41,4.0,593,5.8,30,19.8,251.2,25.0,3022,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,38.0,45.2
Port Harcourt,Nigeria,NG,4.8119,7.0081,1020000,6,19,0,13,0,38,3.7,101,1.0,2,8.2,68.7,30.0,1091,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,41.0,20.8
Fez,Morocco,MA,34.0565,-5.0023,1002000,2,307,0,451,17,851,84.9,225,2.2,11,24.4,118.4,15.0,1580,991,98.9,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,61.0,42.4
N'Djamena,Chad,TD,12.115,15.0472,989000,21,32,0,53,1,110,11.1,192,1.9,2,10.1,45.7,20.0,749,25,2.5,22.0,99.0,0,47.4,51.7,1.5,1.5,1.3,15.1,24.0,24.0,63.0,10.9
Ogbomosho,Nigeria,NG,8.132,4.238,951000,2,0,0,36,0,38,4.0,34,0.4,1,2.9,73.7,30.0,1014,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,37.0,20.5
Djibouti,Djibouti,DJ,11.595,43.148,923000,2,6,0,14,1,26,2.8,1290,14.0,26,21.1,19.4,40.0,743,38,4.1,42.0,99.0,0,77.6,28.8,2.0,2.3,2.0,21.2,35.0,35.0,32.0,21.1
Niamey,Niger,NE,13.5187,2.1147,915000,11,113,0,134,3,272,29.7,192,2.1,2,2.9,35.3,30.0,624,100,10.9,35.0,99.0,0,26.0,51.5,1.8,2.0,1.8,17.7,26.0,26.0,55.0,14.1
Aba,Nigeria,NG,5.1004,7.35,897560,0,0,0,47,0,47,5.2,17,0.2,0,1.6,96.6,30.0,1150,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,30.0,21.1
Maiduguri,Nigeria,NG,11.8519,13.1581,896000,17,46,0,1,0,65,7.3,287,3.2,6,26.5,133.8,30.0,1705,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,52.0,24.2
Zaria,Nigeria,NG,11.0819,7.7081,889000,13,0,0,0,0,13,1.5,219,2.5,4,20.4,27.0,30.0,688,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,42.0,20.5
Mombasa,Kenya,KE,-4.0381,39.688,882000,15,18,0,19,1,55,6.2,456,5.2,9,10.1,29.2,40.0,699,54,6.1,65.0,75.0,1,85.0,24.2,3.0,3.3,2.8,35.1,42.0,42.0,50.0,26.1
Marrakesh,Morocco,MA,31.6319,-8.0019,872000,6,14,0,528,0,562,64.4,674,7.7,34,84.0,89.8,15.0,1646,0,0.0,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,66.0,38.2
Kigali,Rwanda,RW,-1.9516,30.0586,860000,266,70,0,366,6,713,82.9,519,6.0,10,14.3,127.3,40.0,1562,329,38.3,70.0,92.0,1,52.7,4.1,2.8,3.3,3.0,31.8,44.0,44.0,78.0,30.9
Bangui,Central African Republic,CF,4.3666,18.5583,831925,13,8,0,3,0,24,2.9,832,10.0,8,10.0,43.7,20.0,613,0,0.0,20.0,99.0,0,53.8,45.0,1.3,1.5,1.3,13.4,22.0,22.0,32.0,13.7
Warri,Nigeria,NG,5.52,5.76,830106,2,33,0,2,0,38,4.6,34,0.4,1,3.4,84.5,30.0,978,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,39.0,20.9
Freetown,Sierra Leone,SL,8.472,-13.2362,827000,10,20,0,22,2,58,7.0,327,4.0,7,13.2,66.7,30.0,909,83,10.0,35.0,99.0,0,35.8,54.5,2.3,2.5,2.3,24.4,30.0,30.0,48.0,17.7
Agadir,Morocco,MA,30.44,-9.62,825467,9,12,0,479,0,502,60.8,1011,12.2,51,133.0,84.8,15.0,1922,0,0.0,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,74.0,41.3
Jos,Nigeria,NG,9.93,8.89,816824,43,51,0,77,25,199,24.4,726,8.9,15,73.5,449.5,30.0,4517,1166,142.7,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,68.0,47.3
Oran,Algeria,DZ,35.7119,-0.6219,798000,5,110,0,133,2,262,32.8,353,4.4,18,45.6,144.3,15.0,1635,113,14.2,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,78.0,37.5
